RIL	length	width	depth	circularity	volume	crease_depth	surface_area	z	geometry_ratio
81	4.508307692307692	1.340578677459826	0.7837601997103917	0.5468656482634877	2.170396701065846	0.3764792208496336	14.33415732512821	891.4031088424422	0.46284348587412477
82	4.3512	1.432285855511118	0.7467215187691422	0.5786021144990218	2.1846358484992003	0.3445445610052084	14.412247893333321	1025.8416362938715	0.46766992119947404
83	4.6472	1.332744495982088	0.7283565458251615	0.5555776637091856	2.0342322603008	0.3191249502394638	14.541685930666679	1053.4538304574846	0.5502634504113069
84	3.94272	1.56055661603293	0.8740798034290012	0.4464709751195714	2.0242345737728002	0.5190295789506759	14.979649109333339	855.0213982596767	0.2926353720084403
85	4.36896	1.5450223003935786	0.7696248043109708	0.5172576893267239	2.2132275894613334	0.38509225893575444	15.30375042844444	715.7803974878597	0.42201521192855973
86	4.5551111111111116	1.418064643644702	0.7073370420172704	0.5099486711754254	1.9521307801884444	0.35306910214883896	14.362404124444444	779.777530035213	0.5196010588573591
87	4.339815384615385	1.4006658684953737	0.9087702287218026	0.47037822895945397	2.125274946323692	0.5010300520806168	15.043801993846147	832.0233763342429	0.34355836895122616
88	4.117688888888889	1.2950678660797894	0.7780823433925723	0.5007151911803855	1.7168832999253334	0.42503479466381117	13.54322697481481	966.9913333157642	0.4012794409641608
89	4.341333333333333	1.2478254296860083	0.7598698016216491	0.4872953736677573	1.7293490707626666	0.41957653917097526	13.44418844444445	1072.9041201500122	0.4554168974476694
90	4.326533333333333	1.3567394066692398	0.7566354478570757	0.49156903094117266	1.8481899236906667	0.39439472695567457	14.33884515555555	807.2678190481987	0.4536733479102641
91	4.367345454545455	1.3975966298897555	0.8206597976237207	0.4802514260069746	2.017743209472	0.43298604833154736	15.061774506666664	820.8920010521098	0.4023112857291691
92	4.242147368421053	1.2137982015961821	0.776283020119665	0.5213091535944847	1.7254318485557896	0.3859486995381411	12.887545038596484	844.2605765663745	0.42825087141894985
93	4.554171428571428	1.4463611894098285	0.79534268880808	0.49566118613967886	2.071745906834286	0.4160070347151456	15.069284449523813	979.7613239993691	0.4430698025796963
